aerobic1	aerobic2	anaerobic1	anaerobic2
NM_001178223.1	51.6759041994409	53.0367205787597	74.5139638303593	65.8250310887154
NM_001178224.1	2.64251742122559	3.5331468727533	4.29932209548912	8.28650766180239
NM_001178225.1	5.75262945312368	3.99113398586442	7.96732133616864	6.16504789001331
NM_001178226.1	1.16558965264568	1.04746471483589	1.83392833672914	2.27623972716654
NM_001178227.1	11.2072784774945	11.2342753630787	23.238731728536	23.3866407895378
NM_001178230.1	0.863771750568792	0.737124266165393	2.23908166633896	2.30050099796594
NM_001178235.1	4.7327174523456	1.43669559891713	2.90123141934792	4.72281507722836
NM_001178236.1	177.487998414185	174.76026207668	709.091604775491	717.395292800618
NM_001178239.1	7.97941718166689	9.10977385075737	23.7245086566773	19.3042934641016
NM_001178241.1	351.28992175876	360.4078343313	337.878154227862	377.564233353254
NM_001178242.1	852.5486482616	831.965733100422	1052.19037390537	1040.41190633212
NM_001178243.1	977.069814878248	959.582095449047	1397.17818522002	1390.17765748541
NM_001178244.1	5.45221789613452	5.41244437041862	16.3732134592245	16.3472796669878
NM_001178245.1	8.31719716545874	10.1046194596381	9.1182375017157	7.58668014451876
NM_001178246.1	80.0366406197642	84.8779715637209	62.8964337799674	65.5845917021964
NM_001178247.1	23.919765932429	24.4021715906399	16.1507887991522	17.8030100561335
NM_001178248.2	8.1406536529553	8.31692685556206	7.98143056080824	8.01896369498904
NM_001178249.1	18.5118631605374	19.1161366920209	17.9676210683716	18.6725727923663
NM_001178250.1	21.9395579325603	22.8854158799418	22.3052732390489	23.9431160472789
NM_001178251.1	24.3248293481885	24.5293217379713	23.2021894193784	20.3346540429074
NM_001178253.1	2.33610917902124	2.97404461434351	2.1287444840022	2.3170056154361
NM_001178254.2	9.64362797596321	9.80102630747298	13.5943346429729	13.6452504119619
NM_001178255.1	16.5260480028569	17.0443216195988	15.1450070811339	16.4186194667198
NM_001178256.1	96.3816533529229	94.4880153805928	176.77500370457	174.064586267201
NM_001178257.1	21.7798529227041	22.565690834851	28.5466230235477	28.3968414819359
NM_001178258.1	67.3908317749137	65.0706893030695	45.2060126796914	57.6731716842496
NM_001178259.1	8.16446523929058	7.94313488036542	7.95047847290321	8.42995359081141
NM_001178260.1	29.6113163548528	29.3321579802961	33.1749260926173	28.2485074816609
NM_001178261.1	38.7665889687256	34.1652129892064	31.6797103754578	31.3434138781516
NM_001178262.1	29.1770864443118	29.7807034852149	15.657659250166	16.2760397678329
NM_001178263.1	9.81841698234379	9.45111807547891	12.5037380921446	14.7604140141673
NM_001178264.1	45.5412732545017	43.4609246748915	79.4476812847666	76.2536795923833
NM_001178265.1	33.0154096698571	36.4683166920908	45.6210359398052	30.6080774617034
NM_001178266.1	227.20950323644	219.128100396093	241.615429408343	256.736127489839
NM_001178267.1	1362.50716225031	1295.83677735359	2674.69625628483	2642.74917038623
NM_001178268.1	208.730652809163	190.55191067123	441.563241155506	442.45457633815
NM_001178269.1	13.7837176990463	12.6247152901811	65.120031785385	67.5552771317072
NM_001178270.1	290.567729943198	285.338423257713	89.5502141403972	94.0110623894044
NM_001178271.1	15.9362128354639	14.505978559315	14.6528410207498	14.1850108571401
NM_001178272.1	58.0462809821879	58.8295573315777	59.0812097792793	59.8032650116712
NM_001178273.1	53.9474281891098	55.2775045778089	43.0587700505465	41.2527683160974
NM_001178274.1	5.54831812562925	5.75551213913326	4.90468269418878	4.59019255394232
NM_001178275.1	13.3481819171354	12.1880556559314	11.4326159771363	12.0714061614847
NM_001178276.1	93.9271447513042	93.3106999258186	128.894214255745	128.419593725525
NM_001178277.1	9.69953483711785	10.7371650700596	8.74500996317825	8.54745483323083
NM_001178278.1	69.3645183826772	75.3123576766764	38.2671942178052	32.6028723190667
NM_001178279.1	52.1066809680683	54.2286800873579	113.572522614437	115.416055814511
NM_001178280.1	141.886514188427	134.735162915323	98.4409554396043	105.184393679663
NM_001178281.1	207.447538864074	202.487937250094	132.963618950387	139.982152257801
NM_001178282.1	30.8256885246078	28.8193483767798	71.4377883506036	75.0866641272358
NM_001178283.1	49.8474449230118	50.096383549196	11.91157065012	13.6586128573802
NM_001178284.1	7.03801333553478	8.0757121031072	3.73767119492348	2.52720649728823
NM_001178285.1	201.591274923638	200.588289947122	63.6225900914972	62.6229816741019
NM_001178286.1	18.677788752963	18.5867239069767	15.691187298876	16.8808746062765
NM_001178287.1	34.7669165652704	35.9583526931311	21.5935033778521	19.5827381212703
NM_001178289.1	31.8248769130938	23.0488354236177	35.1133502462129	32.6996468506533
