genesymbol,gal1RGexp,gal1RGsig,gal4RGexp,gal4RGsig,gal80Rexp,gal80Rsig,name
YOR264W,0.493,1.94E-08,0.237,0.016862,0.307,0.011809,YOR264W
GIC2,-0.427,1.66E-08,-0.129,0.032663,-0.798,1.26E-13,YDR309C
CDC42,-0.074,0.066961,0.089,0.031442,-0.154,0.030339,YLR229C
YGR058W,0.045,0.44242,-0.16,0.10763,-0.065,0.6708,YGR058W
CPA2,-0.323,1.29E-07,0,0.61381,-0.745,0.030981,YJR109C
CPA1,-0.127,0.002137,-0.089,0.15221,0.403,1.59E-04,YOR303W
HAP1,0.011,0.79725,-0.087,0.063023,0.104,0.2243,YLR256W
CYB2,0.963,3.60E-11,0.856,1.39E-08,-0.091,0.25421,YML054C
CYC1,0.216,3.34E-05,0.14,0.005959,-0.643,1.61E-08,YJR048W
CYC7,-0.319,2.88E-06,0.377,7.36E-07,-1.373,4.97E-07,YEL039C
HAP2,0.127,0.002588,0.05,0.22211,0.059,0.35299,YGL237C
HAP3,0.073,0.18207,-0.256,0.015004,-0.108,0.497,YBL021C
TFB1,0.098,0.056092,-0.043,0.60829,0.332,0.0087786,YDR311W
TFA1,0.214,3.50E-05,-0.146,0.025221,0.337,4.99E-05,YKL028W
APG5,0.033,0.47027,0.116,0.043291,0.488,1.56E-05,YPL149W
APG7,-0.134,0.030789,0.251,2.26E-04,0.034,0.7782,YHR171W
APG12,0.088,0.143,-0.332,0.011008,0.378,0.012775,YBR217W
HAP4,0.084,0.045375,0.295,3.18E-06,-0.117,0.071395,YKL109W
MCM1,-0.183,0.0035372,-0.654,4.25E-06,0.457,2.41E-04,YMR043W
BAR1,-0.622,7.10E-11,-0.207,0.0040782,-1.117,2.92E-11,YIL015W
HSP150,-0.357,6.89E-08,0.111,0.041194,0.001,0.999999,YJL159W
PCK1,1.289,7.09E-13,1.224,1.85E-10,0.123,0.13819,YKR097W
CLB1,-0.25,7.58E-07,-0.566,2.39E-07,0.101,0.1936,YGR108W
MFA1,-0.659,2.47E-10,-0.147,0.011212,-0.526,5.52E-10,YDR461W
MFA2,-0.764,3.15E-11,-0.098,0.05338,-1.237,1.19E-10,YNL145W
FAR1,-0.158,5.98E-04,-0.803,4.74E-08,0.972,6.37E-07,YJL157C
STE2,-0.653,1.36E-10,-0.396,4.17E-06,-0.74,2.88E-14,YFL026W
AUT1,0.078,0.061024,0.196,3.11E-04,0.161,0.10191,YNR007C
PRP21,0.083,0.13783,-0.46,6.54E-04,0.401,0.0046881,YJL203W
PFK27,-0.646,1.91E-08,-0.086,0.39614,-0.472,0.0081753,YOL136C
SPA2,-0.155,3.40E-04,0.05,0.23036,-0.036,0.62229,YLL021W
HXT9,0.298,5.60E-06,0.592,1.69E-09,-0.162,0.097946,YJL219W
HXT11,0.298,8.18E-06,0.462,5.19E-05,0.105,0.28091,YOL156W
HSL1,-0.01,0.96433,0.78,1.69E-09,0.439,0.0030233,YKL101W
CDC28,-0.016,0.7432,-0.087,0.32105,-0.405,0.026081,YBR160W
PDR3,0,0.64313,0,0.999999,0,0.999999,YBL005W
PEP7,0.164,0.10243,0,0.999999,0.052,0.69287,YDR323C
PEP12,0.071,0.092135,0.037,0.43055,0.491,1.63E-06,YOR036W
PMA1,-0.352,1.00E-05,-0.282,7.14E-04,-0.573,1.26E-06,YGL008C
GLN3,0.098,0.38375,-0.513,0.010321,0.537,0.0018683,YER040W
GLN1,-0.197,2.39E-05,-1.06,2.93E-09,-0.172,0.036009,YPR035W
UGA1,-0.163,0.0086582,0.234,0.0011998,-0.258,6.22E-05,YGR019W
RAS2,0.05,0.20515,0.062,0.23242,0.293,1.04E-04,YNL098C
CDC25,0.015,0.67137,-0.037,0.41028,-0.071,0.25519,YLR310C
SNF4,-0.111,0.0058541,0.112,0.011234,-0.221,0.0027535,YGL115W
SIP2,0.354,1.80E-06,0.406,1.11E-06,0.139,0.097498,YGL208W
RLM1,-0.06,0.14513,-0.037,0.47601,0.209,0.0026491,YPL089C
SLT2,-0.227,1.35E-04,-0.24,2.73E-04,0.21,0.0033506,YHR030C
SIP4,0.037,0.72688,0.169,0.55601,0.442,0.033306,YJL089W
ICL1,0.65,1.89E-10,0.591,4.85E-09,1.147,3.46E-08,YER065C
FBP1,0.873,2.19E-10,1.067,5.89E-11,0.371,0.0037868,YLR377C
MAC1,0.022,0.6115,-0.032,0.59236,0.066,0.54119,YMR021C
FRE1,0.518,4.68E-09,-0.279,0.0018109,0.282,0.039051,YLR214W
MSN5,0.028,0.8595,0.189,0.071598,0.272,0.2334,YDR335W
HMO1,-0.314,5.16E-08,-0.083,0.10372,-0.356,3.47E-08,YDR174W
TPO1,-0.189,1.72E-04,-0.101,0.27319,-0.24,0.0047822,YLL028W
CUP2,-0.073,0.33486,0.243,0.0012181,0.147,0.032147,YGL166W
RPP1A,-0.429,1.71E-05,-0.094,0.048133,-0.278,5.96E-06,YDL081C
RPP0,-0.259,5.00E-06,-0.148,0.0063648,-0.361,2.06E-07,YLR340W
MUD2,0.002,0.96433,-0.294,2.85E-04,0.608,3.45E-04,YKL074C
TEM1,-0.218,0.37089,-0.069,0.45319,0,0.999999,YML064C
YCK1,0.082,0.037285,-0.049,0.23999,0.119,0.037227,YHR135C
YNL116W,0.165,2.68E-04,0.027,0.63152,0.358,2.77E-04,YNL116W
YNL047C,0.14,0.0026155,-0.078,0.19124,0.029,0.7773,YNL047C
YCK2,-0.013,0.76333,-0.066,0.21924,-0.438,2.36E-07,YNL154C
YKL204W,0.253,6.49E-06,-0.002,0.9794,0.16,0.091109,YKL204W
TOR1,-0.028,0.47775,0.326,2.53E-05,0.111,0.1951,YJR066W
RPP2B,-0.218,1.43E-05,-0.058,0.18479,-0.314,1.42E-07,YDR382W
RPP1B,-0.3,1.05E-05,-0.123,0.01128,-0.24,2.14E-05,YDL130W
ACT1,-0.16,3.22E-04,0.192,1.31E-04,-0.527,6.06E-12,YFL039C
GLK1,-0.146,0.0093643,0.542,1.05E-06,-0.221,2.06E-04,YCL040W
OYE2,-0.565,2.64E-08,0.078,0.098356,-0.671,3.70E-11,YHR179W
GCR1,-0.373,2.49E-07,-0.207,0.046834,-0.53,5.27E-06,YPL075W
GCR2,0.121,0.005054,-0.162,0.0077746,0.433,5.65E-05,YNL199C
TAH18,0.113,0.12893,-0.191,0.54556,0.289,0.063048,YPR048W
SFH1,0.252,2.68E-05,-0.352,5.26E-04,0.427,0.0047054,YLR321C
HSP26,-1.232,1.31E-06,0.895,2.39E-05,-0.447,3.35E-11,YBR072W
HSF1,0.104,0.034847,-0.084,0.42981,0.543,6.23E-04,YGL073W
AST1,-0.272,1.94E-06,-0.487,7.00E-06,-0.026,0.87354,YBL069W
SRP1,0.082,0.045195,0.014,0.79134,-0.573,1.41E-08,YNL189W
PHO13,-0.223,2.95E-04,-0.311,5.39E-05,-0.258,8.10E-04,YDL236W
CAR1,0.186,7.26E-04,-0.26,1.86E-04,0.957,5.24E-11,YPL111W
FCY1,-0.07,0.066907,-0.145,0.006637,-0.071,0.26496,YPR062W
BUD6,0.071,0.18355,-0.201,0.0039398,0.21,0.072655,YLR319C
YNL311C,-0.055,0.3444,-0.388,0.0089606,-0.169,0.12031,YNL311C
MET14,-0.152,0.0020562,-0.474,2.75E-06,0.683,2.71E-07,YKL001C
CMK2,-0.365,6.85E-07,-0.108,0.024371,-0.138,0.027128,YOL016C
CMD1,-0.089,0.024989,0.074,0.13694,-0.163,0.0092082,YBR109C
SNX4,0.195,1.35E-04,-0.051,0.36812,0.376,9.77E-04,YJL036W
YDL113C,0.189,9.94E-05,0.011,0.8523,0.304,0.0063436,YDL113C
YEL041W,0.211,4.78E-04,0.393,3.20E-07,-0.265,0.035715,YEL041W
YHR115C,0.056,0.143,0.044,0.33678,0.138,0.079261,YHR115C
SKO1,0.095,0.024036,0.1,0.079913,-0.18,0.015501,YNL167C
YDL063C,0.093,0.055312,-0.755,0.0023991,0.971,0.0013668,YDL063C
RPL5,-0.228,1.05E-05,-0.149,0.0049489,-0.246,1.48E-04,YPL131W
YGL161C,-0.07,0.053915,0.172,8.92E-04,-0.164,0.0065587,YGL161C
YDR100W,-0.007,0.86711,0.275,1.32E-05,-0.415,5.79E-10,YDR100W
SSO2,-0.822,2.17E-11,0.256,0.0021146,-0.825,1.03E-16,YMR183C
SEC9,0.236,2.96E-05,-0.185,0.017416,0.302,4.41E-04,YGR009C
YMR291W,-0.363,7.98E-08,0.256,0.012617,-0.397,5.30E-09,YMR291W
UFD1,0.017,0.696,-0.155,0.028001,0.364,0.0043651,YGR048W
YPL222W,0.344,6.97E-07,0.284,1.37E-04,0.514,4.62E-05,YPL222W
CLN3,-0.027,0.66515,-0.206,0.0017369,0.303,0.0010074,YAL040C
PHO4,0.121,0.099513,-0.336,6.97E-04,0.348,0.020802,YFR034C
RSC8,0.297,1.51E-06,-0.226,0.013849,0.35,0.0035541,YFR037C
SNF2,-0.119,0.0030289,-0.101,0.029664,-0.577,3.63E-13,YOR290C
GLC7,0.051,0.20733,-0.085,0.063996,-0.051,0.36616,YER133W
GAC1,-0.137,0.0010176,0.462,1.59E-06,-0.187,0.0036854,YOR178C
YOR315W,0.066,0.13594,-0.462,4.72E-06,-0.063,0.50938,YOR315W
GLC8,0.214,0.0015202,0.021,0.64469,0.349,6.56E-06,YMR311C
REG2,0.432,6.91E-08,0.679,2.98E-08,0.122,0.28411,YBR050C
SUC2,-0.318,4.14E-07,0.688,1.79E-09,-1.131,1.74E-20,YIL162W
YPT1,0.075,0.056883,-0.033,0.44841,0.12,0.073548,YFL038C
GDS1,-0.176,1.66E-04,-0.044,0.45777,0.43,0.0062666,YOR355W
NPI46,0.118,0.02495,-0.38,5.30E-05,0.389,3.32E-05,YML074C
RPS22A,-0.444,1.05E-05,-0.443,1.81E-06,-0.184,0.0020712,YJL190C
FET3,0.449,3.70E-08,-0.293,4.77E-04,0.64,1.60E-08,YMR058W
FTR1,0.647,6.62E-09,-0.78,6.33E-05,0.868,5.97E-07,YER145C
PHO84,0.283,0.0015163,-0.114,0.019412,0.692,6.96E-07,YML123C
PHO85,-0.106,0.012838,0.125,0.0056375,-0.139,0.019984,YPL031C
PCL5,-0.614,5.01E-11,-0.67,4.28E-06,-0.499,6.81E-08,YHR071W
GAL80,-0.07,0.080275,-0.606,4.39E-08,-1.167,8.20E-17,YML051W
GAL3,-0.111,0.01257,-1.004,6.98E-08,0.162,0.16498,YDR009W
KNS1,0.258,1.38E-05,0.215,6.09E-05,0.295,9.35E-05,YLL019C
YIL113W,-0.236,0.002113,0.211,0.002831,-0.137,0.23739,YIL113W
RPS17A,-0.551,6.97E-11,-0.454,1.55E-06,-0.864,1.31E-12,YML024W
CKB2,-0.006,0.87354,-0.058,0.20402,-0.006,0.92034,YOR039W
SWI4,0.195,5.61E-04,-0.105,0.33211,0.16,0.15558,YER111C
SWI5,-0.19,0.0018541,0.102,0.1065,-0.027,0.76249,YDR146C
TRP3,-0.183,1.66E-04,-0.6,4.27E-07,0.358,1.53E-04,YKL211C
TRP2,-0.067,0.079619,-0.38,1.97E-05,0.231,0.0015768,YER090W
TRP4,-0.122,0.0090277,-0.202,0.0028196,-0.253,0.0012089,YDR354W
RPC19,0.304,1.03E-05,-0.979,4.83E-07,0.789,0.0028937,YNL113W
RPC40,-0.12,0.0019607,-0.339,1.27E-05,-0.026,0.70564,YPR110C
SSA4,-0.405,1.24E-04,0.176,0.013281,-0.826,8.37E-13,YER103W
YBR190W,-0.209,4.51E-05,-0.3,3.88E-04,0.07,0.66515,YBR190W
GPD2,-0.499,3.38E-08,-0.29,2.38E-05,-0.591,1.53E-09,YOL059W
RPS8B,-0.249,3.27E-05,-0.364,3.66E-06,-0.135,0.017595,YER102W
PRE10,0.036,0.31634,-0.043,0.2984,0.225,0.0013356,YOR362C
YMR044W,0.255,4.45E-05,-0.093,0.15055,0.357,8.82E-04,YMR044W
DCP1,0.228,9.08E-05,-0.248,0.0015911,0.254,0.059331,YOL149W
PEX13,0.178,7.69E-04,-0.056,0.58305,0.222,0.097987,YLR191W
PEX14,0.242,1.30E-04,-0.132,0.077941,0.627,0.0023167,YGL153W
KAP123,0.05,0.26052,-0.233,2.96E-04,0.43,3.63E-07,YER110C
YAP1,0.359,9.24E-08,-0.039,0.42858,0.331,0.0024709,YML007W
CKS1,0.108,0.0084321,-0.018,0.6558,0.057,0.34065,YBR135W
PEX17,0.122,0.166,0.041,0.64313,0.199,0.11918,YNL214W
MET16,-0.066,0.17278,-1.034,1.31E-06,0.708,5.31E-04,YPR167C
VPS21,0.193,1.17E-04,-0.042,0.32501,0.378,8.22E-06,YOR089C
MLS1,0.973,1.92E-11,0.452,9.03E-05,0.941,1.26E-05,YNL117W
CBF5,0.038,0.47804,-0.597,5.55E-05,0.498,1.41E-07,YLR175W
TAF25,0.246,2.18E-04,-0.219,0.0039024,0.355,0.01484,YDR167W
YLR432W,-0.197,6.68E-05,-0.054,0.36112,-0.301,4.82E-05,YLR432W
PEX5,0.369,2.75E-06,-0.021,0.73489,0.483,4.31E-04,YDR244W
PEX7,-0.101,0.016464,0.112,0.16704,-0.069,0.401,YDR142C
