"EdgeBetweenness","interaction","name","selected","shared interaction","shared name"
"496.0","pp","YMR138W (pp) YLR109W","false","pp","YMR138W (pp) YLR109W"
"496.0","pp","YCL032W (pp) YDR032C","false","pp","YCL032W (pp) YDR032C"
"2430.0","pp","YCL032W (pp) YLR362W","false","pp","YCL032W (pp) YLR362W"
"10.0","pp","YCL032W (pp) YDR103W","false","pp","YCL032W (pp) YDR103W"
"496.0","pp","YLR362W (pp) YER124C","false","pp","YLR362W (pp) YER124C"
"665.0","pp","YLR362W (pp) YMR186W","false","pp","YLR362W (pp) YMR186W"
"8670.28291708","pp","YLR362W (pp) YPL240C","false","pp","YLR362W (pp) YPL240C"
"486.0","pp","YDR103W (pp) YLR362W","false","pp","YDR103W (pp) YLR362W"
"496.0","pd","YJR060W (pd) YPR167C","false","pd","YJR060W (pd) YPR167C"
"136.64242424","pd","YBR019C (pd) YOL051W","false","pd","YBR019C (pd) YOL051W"
"583.07575758","pd","YBR019C (pd) YGL035C","false","pd","YBR019C (pd) YGL035C"
"138.04242424","pd","YOL051W (pd) YBR020W","false","pd","YOL051W (pd) YBR020W"
"5.0","pd","YOL051W (pd) YLR081W","false","pd","YOL051W (pd) YLR081W"
"222.64848485","pp","YOL051W (pp) YPL248C","false","pp","YOL051W (pp) YPL248C"
"5.0","pd","YOL051W (pd) YBR018C","false","pd","YOL051W (pd) YBR018C"
"15561.19504385","pd","YGL035C (pd) YLR044C","false","pd","YGL035C (pd) YLR044C"
"1488.73498168","pd","YGL035C (pd) YLR377C","false","pd","YGL035C (pd) YLR377C"
"1336.3974359","pd","YGL035C (pd) YIL162W","false","pd","YGL035C (pd) YIL162W"
"713.65151515","pd","YBR020W (pd) YGL035C","false","pd","YBR020W (pd) YGL035C"
"40.23333333","pd","YPL248C (pd) YBR019C","false","pd","YPL248C (pd) YBR019C"
"1779.33333333","pd","YPL248C (pd) YJR048W","false","pd","YPL248C (pd) YJR048W"
"2953.35151515","pd","YPL248C (pd) YGL035C","false","pd","YPL248C (pd) YGL035C"
"236.24848485","pd","YPL248C (pd) YML051W","false","pd","YPL248C (pd) YML051W"
"236.24848485","pp","YPL248C (pp) YML051W","false","pp","YPL248C (pp) YML051W"
"38.23333333","pd","YPL248C (pd) YBR020W","false","pd","YPL248C (pd) YBR020W"
"491.0","pd","YPL248C (pd) YLR081W","false","pd","YPL248C (pd) YLR081W"
"491.0","pd","YPL248C (pd) YBR018C","false","pd","YPL248C (pd) YBR018C"
"5834.22017982","pp","YIR009W (pp) YKR099W","false","pp","YIR009W (pp) YKR099W"
"1476.0","pp","YIR009W (pp) YIL143C","false","pp","YIR009W (pp) YIL143C"
"4563.54618715","pp","YIR009W (pp) YDR184C","false","pp","YIR009W (pp) YDR184C"
"2992.12454212","pp","YIR009W (pp) YNL091W","false","pp","YIR009W (pp) YNL091W"
"988.0","pp","YIL143C (pp) YDR311W","false","pp","YIL143C (pp) YDR311W"
"4543.54618715","pp","YDR184C (pp) YLR319C","false","pp","YDR184C (pp) YLR319C"
"496.0","pp","YNL091W (pp) YNL164C","false","pp","YNL091W (pp) YNL164C"
"988.0","pp","YNL236W (pp) YKL012W","false","pp","YNL236W (pp) YKL012W"
"2440.0","pp","YKL012W (pp) YKL074C","false","pp","YKL012W (pp) YKL074C"
"249.0","pp","YML032C (pp) YNL312W","false","pp","YML032C (pp) YNL312W"
"739.0","pd","YNL312W (pd) YPL111W","false","pd","YNL312W (pd) YPL111W"
"988.0","pp","YLR116W (pp) YKL012W","false","pp","YLR116W (pp) YKL012W"
"496.0","pp","YDR309C (pp) YLR229C","false","pp","YDR309C (pp) YLR229C"
"988.0","pp","YLR229C (pp) YJL157C","false","pp","YLR229C (pp) YJL157C"
"988.0","pp","YGR058W (pp) YOR264W","false","pp","YGR058W (pp) YOR264W"
"4.0","pp","YJR109C (pp) YOR303W","false","pp","YJR109C (pp) YOR303W"
"988.0","pd","YLR256W (pd) YML054C","false","pd","YLR256W (pd) YML054C"
"2440.0","pd","YLR256W (pd) YJR048W","false","pd","YLR256W (pd) YJR048W"
"496.0","pd","YLR256W (pd) YEL039C","false","pd","YLR256W (pd) YEL039C"
"44.56666667","pd","YGL237C (pd) YJR048W","false","pd","YGL237C (pd) YJR048W"
"44.56666667","pd","YBL021C (pd) YJR048W","false","pd","YBL021C (pd) YJR048W"
"496.0","pp","YDR311W (pp) YKL028W","false","pp","YDR311W (pp) YKL028W"
"739.0","pp","YPL149W (pp) YHR171W","false","pp","YPL149W (pp) YHR171W"
"249.0","pp","YPL149W (pp) YBR217W","false","pp","YPL149W (pp) YBR217W"
"1960.0","pp","YHR171W (pp) YDR412W","false","pp","YHR171W (pp) YDR412W"
"739.0","pp","YHR171W (pp) YNR007C","false","pp","YHR171W (pp) YNR007C"
"249.0","pp","YBR217W (pp) YNR007C","false","pp","YBR217W (pp) YNR007C"
"451.43333333","pp","YKL109W (pp) YGL237C","false","pp","YKL109W (pp) YGL237C"
"451.43333333","pp","YKL109W (pp) YBL021C","false","pp","YKL109W (pp) YBL021C"
"1185.8","pd","YKL109W (pd) YJR048W","false","pd","YKL109W (pd) YJR048W"
